drug_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
Bryostatin 1,61.518974,-67.657646,-42.84761,-1.0713583,-4.1253433,-42.800007,-80.55064,13.313359,-85.67687,72.29183,76.1596,-16.25826,8.413329,6.8361216,1.8400719,38.3838,18.48189,-60.527946,30.072325,16.295277,-57.93826,2.122177,37.181343,29.859407,-95.894165,-10.34374,15.894204,-61.92467,62.112072,41.920616,10.094385,-91.61115
Bryostatin_1,61.518974,-67.657646,-42.84761,-1.0713582,-4.1253433,-42.800007,-80.55064,13.313359,-85.67688,72.29183,76.1596,-16.25826,8.413329,6.836121,1.8400719,38.383804,18.48189,-60.52794,30.072325,16.295277,-57.938263,2.1221771,37.181343,29.859407,-95.89417,-10.34374,15.894204,-61.92467,62.112076,41.920616,10.094384,-91.61116
Buparlisib,27.396843,-29.461187,-20.469748,-0.7689153,-2.74884,-18.197481,-38.219376,7.8973527,-38.894066,32.666466,36.328754,-9.075906,3.9039698,2.4831111,-0.28325048,18.959654,11.46664,-28.922235,16.36548,9.3260765,-24.93404,0.92121935,17.197523,11.985715,-44.866783,-5.460156,7.827149,-27.177383,26.793354,20.000792,3.9184737,-42.603504
BVD523,26.409208,-29.094395,-21.646511,-1.2428671,-1.5726314,-19.540646,-37.963673,8.74581,-40.266182,36.739838,35.783154,-11.254495,2.7573555,2.0033312,0.90921104,18.335003,12.218354,-30.148142,16.614012,6.843175,-26.48515,0.934111,16.244316,11.750512,-45.697292,-5.0175962,8.71999,-28.008596,27.525469,22.227135,3.8653219,-44.120823
BX-912,28.488258,-30.781082,-23.404186,-1.1630913,-1.7895498,-21.27516,-40.815628,9.097414,-42.734104,39.49007,38.920906,-12.716991,4.0328784,1.5400884,1.5012023,20.011232,13.19983,-32.409836,18.258635,7.7290044,-28.042532,0.5018248,16.085876,11.139191,-49.305218,-5.915802,10.026564,-29.885874,30.254602,23.35944,3.5132186,-47.25699
BX795,34.098515,-36.503887,-28.34986,-2.3000975,-0.97219384,-26.499998,-48.355984,10.4570465,-51.868813,50.35905,46.844074,-17.748203,4.6953154,1.257154,4.0350738,23.089144,15.802141,-40.103134,21.85647,6.567691,-34.93465,0.085248776,16.378853,11.75458,-59.57391,-6.952329,13.181154,-36.549076,38.631588,29.010681,3.2726312,-58.66887
CA3,31.867779,-34.6556,-24.937504,-1.2314068,-2.39565,-23.387083,-45.6888,8.330638,-46.869625,42.079376,42.58116,-12.012735,5.258457,2.587055,1.7137952,21.659983,13.4967165,-34.65018,19.344912,9.669224,-30.958754,0.8195262,17.90367,13.027416,-53.078087,-6.384227,10.608845,-32.55088,34.6556,24.233986,3.716555,-51.694584
Cabozantinib,31.903004,-34.96933,-25.775455,-1.5031375,-3.7993994,-22.430368,-46.572037,10.929083,-48.225616,41.119904,44.03962,-12.367233,4.354116,2.1317303,-0.36867487,22.974533,14.910268,-35.57572,20.891489,10.814324,-30.547913,0.5089903,21.344149,15.293941,-55.048363,-6.3654337,10.199921,-33.486557,31.325735,25.990269,5.050512,-52.013443
Camptothecin,22.54261,-24.6745,-17.600431,-0.89708114,-3.310586,-15.430645,-33.285484,7.3064547,-33.338978,27.425928,30.977514,-7.789321,3.6701312,1.1955104,-0.8895102,16.170572,10.3819685,-24.316647,15.129025,8.92348,-21.125746,0.03639381,15.680265,10.662678,-38.637707,-4.7483063,6.7452135,-23.0417,22.164421,17.08035,3.2330482,-36.121593
"CAP-232, TT-232, TLN-232",61.774307,-66.88012,-47.097786,-2.332144,-4.3832536,-43.931873,-83.76205,17.010998,-90.4708,78.461075,80.80302,-22.34595,8.44245,5.7081056,2.8999186,41.984924,24.033188,-66.63474,35.21122,17.475729,-60.11781,1.771444,36.092945,27.89049,-101.68632,-11.521671,19.164202,-63.118946,62.876003,47.51183,9.744147,-97.023834
"CAP-232,_TT-232,_TLN-232",61.774307,-66.88012,-47.097786,-2.3321443,-4.3832536,-43.931873,-83.76204,17.010998,-90.4708,78.461075,80.803024,-22.345951,8.4424515,5.7081056,2.8999186,41.98492,24.033188,-66.63474,35.21122,17.475729,-60.11781,1.7714437,36.09294,27.890488,-101.68632,-11.521671,19.1642,-63.11894,62.876003,47.51183,9.744146,-97.023834
Capivasertib,27.809652,-30.401827,-21.70032,-0.48919526,-2.2594056,-19.624823,-39.076782,8.657289,-40.457176,35.290806,36.81916,-9.604339,3.6149437,2.338659,-0.28731817,19.419025,11.724743,-29.7046,16.412857,8.637333,-26.203173,0.82756186,17.957531,12.84219,-46.61354,-5.450827,8.251183,-28.521353,27.327232,21.505014,4.3762174,-43.74752
Capmatinib,26.203682,-28.497547,-21.510508,-0.9768641,-3.4487658,-18.134096,-39.243988,9.816423,-39.633022,33.760517,36.7967,-10.2438965,3.3972943,1.4463778,-1.3431231,19.595436,13.502269,-29.72812,18.319077,9.819651,-24.943798,0.2895736,18.451725,12.119057,-46.269688,-5.5391903,8.276239,-27.037336,25.297773,21.57489,3.9373066,-43.18157
